,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Opening van de vergadering,VOORZITTER: ALEJO VIDAL-QUADRAS Ondervoorzitter,VOORZITTER: ALEJO VIDAL-QUADRAS,1,5,not_available,['dut'],['VOORZITTER: ALEJO VIDAL-QUADRAS Ondervoorzitter']
1, 4. Stemmingen,  De Voorzitter. −   We gaan nu over tot de stemming.(Uitslagen en nadere bijzonderheden betreffende de stemmingen: zie notulen) ,De Voorzitter. −,2,18,not_available,"['dut', 'dut']","['  De Voorzitter. −   We gaan nu over tot de stemming.', '(Uitslagen en nadere bijzonderheden betreffende de stemmingen: zie notulen) ']"
2, 4.1. Benoemingen in de parlementaire commissies: zie notulen,⁂,unknown,1,0,not_available,['dut'],['⁂']
3, 4.1. Benoemingen in de parlementaire commissies: zie notulen,"  Rebecca Harms  (Verts/ALE). -  (DE) Mijnheer de Voorzitter, we hebben gisteren een zeer treurig bericht ontvangen uit Grozny in Tsjetsjenië. Daar is de journaliste Natalia Estemirova vermoord, die wij in onze fractie allen goed kenden. Ze is net voorbij de grens tussen Tsjetsjenië en Ingoesjetië dood aangetroffen nadat ze in Grozny was ontvoerd. Natalia Estemirova heeft zich in Tsjetsjenië tot het uiterste ingezet voor Memorial. Wij zouden u willen verzoeken onze wens te vervullen en deze buitengewoon strijdlustige journaliste en voorvechtster van de vrijheid en de mensenrechten in Tsjetsjenië te herdenken met een minuut stilte.(Applaus) ",Rebecca Harms  (Verts/ALE). -,2,96,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE). -  (DE) Mijnheer de Voorzitter, we hebben gisteren een zeer treurig bericht ontvangen uit Grozny in Tsjetsjenië. Daar is de journaliste Natalia Estemirova vermoord, die wij in onze fractie allen goed kenden. Ze is net voorbij de grens tussen Tsjetsjenië en Ingoesjetië dood aangetroffen nadat ze in Grozny was ontvoerd. Natalia Estemirova heeft zich in Tsjetsjenië tot het uiterste ingezet voor Memorial. Wij zouden u willen verzoeken onze wens te vervullen en deze buitengewoon strijdlustige journaliste en voorvechtster van de vrijheid en de mensenrechten in Tsjetsjenië te herdenken met een minuut stilte.', '(Applaus) ']"
4, 5. Mededeling van de Voorzitter,"  De Voorzitter. −  (Na  de speech van Rebecca Harms, zie interventie 4-010). Ja, mevrouw Harms. Met betrekking tot de kwestie die u zojuist noemde moet ik het Parlement mededelen dat Voorzitter Buzek een publieke verklaring heeft afgelegd, die ik  u  zal voorlezen. ",De Voorzitter. −,1,42,not_available,['dut'],"['  De Voorzitter. −  (Na  de speech van Rebecca Harms, zie interventie 4-010). Ja, mevrouw Harms. Met betrekking tot de kwestie die u zojuist noemde moet ik het Parlement mededelen dat Voorzitter Buzek een publieke verklaring heeft afgelegd, die ik  u  zal voorlezen. ']"
5, 9. Onderbreking van de zitting,  De Voorzitter.   – Ik verklaar de zitting van het Europees Parlement te zijn onderbroken.(De vergadering wordt om 9.15 uur gesloten) ,De Voorzitter.,2,21,not_available,"['dut', 'dut']","['  De Voorzitter.   – Ik verklaar de zitting van het Europees Parlement te zijn onderbroken.', '(De vergadering wordt om 9.15 uur gesloten) ']"
