,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Otvoritev seje,PREDSEDSTVO: GOSPOD VIDAL-QUADRAS podpredsednik,PREDSEDSTVO: GOSPOD VIDAL-QUADRAS,1,5,not_available,['slv'],['PREDSEDSTVO: GOSPOD VIDAL-QUADRAS podpredsednik']
1, 4. Čas glasovanja,  Predsednik.   – Sedaj bomo prešli na glasovanje.(Za rezultate in druge podrobnosti glasovanja: glej zapisnik) ,Predsednik.,2,14,not_available,"['slv', 'slv']","['  Predsednik.   – Sedaj bomo prešli na glasovanje.', '(Za rezultate in druge podrobnosti glasovanja: glej zapisnik) ']"
2, 4.1. Imenovanja v parlamentarne odbore: gl. zapisnik,⁂,unknown,1,0,not_available,['slv'],['⁂']
3, 4.1. Imenovanja v parlamentarne odbore: gl. zapisnik,"  Rebecca Harms  (Verts/ALE).   – (DE) Gospod predsednik, včeraj smo iz Groznega v Čečeniji prejeli žalostne novice. Tam je bila umorjena novinarka Natalija Estemirova, ki smo jo vsi v naši skupini dobro poznali. Po ugrabitvi v Groznem je bila najdena mrtva tik za mejo med Čečenijo in Ingušetijo. Natalija Estemirova je bila zelo predana svojemu delu za organizacijo Memorial v Čečeniji. Prosili bi vas, da ugodite naši prošnji in se z minuto molka poklonite tej zelo predani novinarki in borki za svobodo in človekove pravice v Čečeniji.(Aplavz) ",Rebecca Harms  (Verts/ALE).,2,87,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE).   – (DE) Gospod predsednik, včeraj smo iz Groznega v Čečeniji prejeli žalostne novice. Tam je bila umorjena novinarka Natalija Estemirova, ki smo jo vsi v naši skupini dobro poznali. Po ugrabitvi v Groznem je bila najdena mrtva tik za mejo med Čečenijo in Ingušetijo. Natalija Estemirova je bila zelo predana svojemu delu za organizacijo Memorial v Čečeniji. Prosili bi vas, da ugodite naši prošnji in se z minuto molka poklonite tej zelo predani novinarki in borki za svobodo in človekove pravice v Čečeniji.', '(Aplavz) ']"
4, 5. Sporočilo predsedujočega,"  Predsednik.   – (Po govoru gospe Harms glej točko 4.1). Da, gospa Harms. Glede zadeve, ki ste jo pravkar omenili, moram Parlament obvestiti o tem, da je predsednik Buzek podal javno izjavo, ki vam jo bom prebral. ",Predsednik.,1,36,not_available,['slv'],"['  Predsednik.   – (Po govoru gospe Harms glej točko 4.1). Da, gospa Harms. Glede zadeve, ki ste jo pravkar omenili, moram Parlament obvestiti o tem, da je predsednik Buzek podal javno izjavo, ki vam jo bom prebral. ']"
5, 9. Prekinitev zasedanja,"  Predsednik.   – Razglašam, da je zasedanje Evropskega parlamenta prekinjeno.(Seja se je zaključila ob 9.15) ",Predsednik.,2,15,not_available,"['slv', 'slv']","['  Predsednik.   – Razglašam, da je zasedanje Evropskega parlamenta prekinjeno.', '(Seja se je zaključila ob 9.15) ']"
