,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Apertura de la sesión,PRESIDE: ALEJO VIDAL-QUADRAS Vicepresidente,PRESIDE: ALEJO VIDAL-QUADRAS,1,5,not_available,['spa'],['PRESIDE: ALEJO VIDAL-QUADRAS Vicepresidente']
1, 4. Turno de votaciones,  Presidente.   – Pasamos ahora al turno de votaciones.(Para los resultados y otros detalles de la votación: véase el Acta) ,Presidente.,2,19,not_available,"['spa', 'spa']","['  Presidente.   – Pasamos ahora al turno de votaciones.', '(Para los resultados y otros detalles de la votación: véase el Acta) ']"
2, 4.1. Nombramientos en las comisiones parlamentarias: véase el Acta,⁂,unknown,1,0,not_available,['spa'],['⁂']
3, 4.1. Nombramientos en las comisiones parlamentarias: véase el Acta,"  Rebecca Harms  (Verts/ALE).   – (DE) Señor Presidente, ayer recibimos noticias muy tristes procedentes de Grozny, Chechenia. La periodista Natalia Estemirova, a la que todos los miembros de nuestro grupo conocíamos bien, ha sido asesinada allí. La encontraron muerta justo al otro lado de la frontera entre Chechenia e Inguchetia después que la hubieran raptado en Grozny. Natalia Estemirova tenía un compromiso extraordinario con su trabajo para Memorial en Chechenia. Nos gustaría que respaldaran nuestra solicitud de recordar a esta periodista tan comprometida y pionera en la lucha por la paz y los derechos humanos en Chechenia guardando un minuto de silencio.(Aplausos) ",Rebecca Harms  (Verts/ALE).,2,102,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE).   – (DE) Señor Presidente, ayer recibimos noticias muy tristes procedentes de Grozny, Chechenia. La periodista Natalia Estemirova, a la que todos los miembros de nuestro grupo conocíamos bien, ha sido asesinada allí. La encontraron muerta justo al otro lado de la frontera entre Chechenia e Inguchetia después que la hubieran raptado en Grozny. Natalia Estemirova tenía un compromiso extraordinario con su trabajo para Memorial en Chechenia. Nos gustaría que respaldaran nuestra solicitud de recordar a esta periodista tan comprometida y pionera en la lucha por la paz y los derechos humanos en Chechenia guardando un minuto de silencio.', '(Aplausos) ']"
4, 5. Comunicación de la Presidencia,"  Presidente.   – (Tras la intervención de la Sra. Harms, véase el punto 4.1). Sí, señora Harms. Sobre el asunto que usted acaba de mencionar, debo informar a la Cámara de que el Presidente Buzek ha hecho una declaración pública, que paso a leerles. ",Presidente.,1,43,not_available,['spa'],"['  Presidente.   – (Tras la intervención de la Sra. Harms, véase el punto 4.1). Sí, señora Harms. Sobre el asunto que usted acaba de mencionar, debo informar a la Cámara de que el Presidente Buzek ha hecho una declaración pública, que paso a leerles. ']"
5, 9. Interrupción del período de sesiones,  Presidente.   – Declaro interrumpido el período de sesiones del Parlamento Europeo.(Se levanta la sesión a las 9.15 horas) ,Presidente.,2,19,not_available,"['spa', 'spa']","['  Presidente.   – Declaro interrumpido el período de sesiones del Parlamento Europeo.', '(Se levanta la sesión a las 9.15 horas) ']"
