,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Osaistungjärgu avamine,ISTUNGI JUHATAJA: Alejo VIDAL-QUADRAS Asepresident,ISTUNGI JUHATAJA: Alejo VIDAL-QUADRAS,1,6,not_available,['est'],['ISTUNGI JUHATAJA: Alejo VIDAL-QUADRAS Asepresident']
1, 4. Hääletused,  Juhataja.   – Jätkame nüüd hääletusega.(Hääletuse tulemused ja üksikasjad (vt protokoll)) ,Juhataja.,2,10,not_available,"['est', 'est']","['  Juhataja.   – Jätkame nüüd hääletusega.', '(Hääletuse tulemused ja üksikasjad (vt protokoll)) ']"
2, 4.1. Nimetamised parlamendi komisjonidesse (vt protokoll),⁂,unknown,1,0,not_available,['est'],['⁂']
3, 4.1. Nimetamised parlamendi komisjonidesse (vt protokoll),"  Rebecca Harms  (Verts/ALE).   – (DE) Austatud juhataja! Eile saime väga kurbi uudiseid Groznõist Tšetšeenias. Seal mõrvati ajakirjanik Natalja Estermirova, kes oli kõigile meie fraktsioonis väga tuttav. Pärast tema röövimist Groznõis leiti tema surnukeha Tšetšeenia ja Inguššia vahelise piiri lähedal. Natalja Estemirova oli ääretult pühendunud oma tööle Tšetšeenias õiguskaitsekeskuses Memorial. Me palume teil nõustuda meie palvega mälestada minutilise leinaseisakuga pühendunud ajakirjanikku ja pioneeri võitluses vabaduse ja inimõiguste eest Tšetšeenias.(Aplaus) ",Rebecca Harms  (Verts/ALE).,2,69,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE).   – (DE) Austatud juhataja! Eile saime väga kurbi uudiseid Groznõist Tšetšeenias. Seal mõrvati ajakirjanik Natalja Estermirova, kes oli kõigile meie fraktsioonis väga tuttav. Pärast tema röövimist Groznõis leiti tema surnukeha Tšetšeenia ja Inguššia vahelise piiri lähedal. Natalja Estemirova oli ääretult pühendunud oma tööle Tšetšeenias õiguskaitsekeskuses Memorial. Me palume teil nõustuda meie palvega mälestada minutilise leinaseisakuga pühendunud ajakirjanikku ja pioneeri võitluses vabaduse ja inimõiguste eest Tšetšeenias.', '(Aplaus) ']"
4, 5. Presidentuuri teatis,"  Juhataja.   – (Pärast Rebecca Harmsi sõnavõttu, vt p 4.1.) Jah, volinik Harms. Seoses teie poolt äsja mainitud juhtumiga pean teavitama täiskogu, et president Jerzy Buzek on teinud avalduse, mille ma teile ette loen. ",Juhataja.,1,33,not_available,['est'],"['  Juhataja.   – (Pärast Rebecca Harmsi sõnavõttu, vt p 4.1.) Jah, volinik Harms. Seoses teie poolt äsja mainitud juhtumiga pean teavitama täiskogu, et president Jerzy Buzek on teinud avalduse, mille ma teile ette loen. ']"
5, 9. Istungjärgu vaheaeg,  Juhataja.   – Ma kuulutan välja Euroopa Parlamendi istungjärgu vaheaja.(Istung lõppes kell 9.15.) ,Juhataja.,2,13,not_available,"['est', 'est']","['  Juhataja.   – Ma kuulutan välja Euroopa Parlamendi istungjärgu vaheaja.', '(Istung lõppes kell 9.15.) ']"
