,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1.  Sēdes atklāšana,SĒDI VADA: A. VIDAL-QUADRAS Priekšsēdētāja vietnieks,SĒDI VADA: A. VIDAL-QUADRAS,1,7,not_available,['lav'],['SĒDI VADA: A. VIDAL-QUADRAS Priekšsēdētāja vietnieks']
1, 4.  Balsošanas laiks,  Priekšsēdētājs.   – Tagad pāriesim pie balsošanas.(Balsojuma rezultāti un cita detaļas: (sk. protokolu) ,Priekšsēdētājs.,2,12,not_available,"['lav', 'lav']","['  Priekšsēdētājs.   – Tagad pāriesim pie balsošanas.', '(Balsojuma rezultāti un cita detaļas: (sk. protokolu) ']"
2, 4.1.  Komiteju locekļu iecelšana (sk. protokolu),⁂,unknown,1,0,not_available,['lav'],['⁂']
3, 4.1.  Komiteju locekļu iecelšana (sk. protokolu),"  Rebecca Harms  (Verts/ALE).   – (DE) Priekšsēdētāja kungs, vakar no Groznijas Čečenijā saņēmām bēdīgas ziņas. Tur nogalināta žurnāliste Natalia Estemirova, ko mūsu politiskās grupas pārstāvji labi pazina. Pēc nolaupīšanas Groznijā, viņa atrasta mirusi netālu no robežas starp Čečenijas un Ingušijas. Natalia Estemirova bija dedzīgi nodevusies savam darbam Memorial Čečenijā. Mēs vēlamies lūgt jūsu atbalstu mūsu pieprasījumam pieminēt šo dedzīgo žurnālisti un brīvības un cilvēktiesību aktīvisti Čečenijā, ievērojot minūtes klusuma brīdi.(Aplausi)",Rebecca Harms  (Verts/ALE).,2,70,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE).   – (DE) Priekšsēdētāja kungs, vakar no Groznijas Čečenijā saņēmām bēdīgas ziņas. Tur nogalināta žurnāliste Natalia Estemirova, ko mūsu politiskās grupas pārstāvji labi pazina. Pēc nolaupīšanas Groznijā, viņa atrasta mirusi netālu no robežas starp Čečenijas un Ingušijas. Natalia Estemirova bija dedzīgi nodevusies savam darbam Memorial Čečenijā. Mēs vēlamies lūgt jūsu atbalstu mūsu pieprasījumam pieminēt šo dedzīgo žurnālisti un brīvības un cilvēktiesību aktīvisti Čečenijā, ievērojot minūtes klusuma brīdi.', '(Aplausi)']"
4, 5.  Priekšsēdētāja paziņojumi,"  Priekšsēdētājs.   – (Pēc Harms kundzes runas sk. 4.1. punktu). Jā, Harms kundze. Attiecībā uz jūsu minēto jautājumu man jūs jāinformē, ka Parlamenta priekšsēdētājs Buzek kungs ir publicējis paziņojumu, ko jums nolasīšu. ",Priekšsēdētājs.,1,31,not_available,['lav'],"['  Priekšsēdētājs.   – (Pēc Harms kundzes runas sk. 4.1. punktu). Jā, Harms kundze. Attiecībā uz jūsu minēto jautājumu man jūs jāinformē, ka Parlamenta priekšsēdētājs Buzek kungs ir publicējis paziņojumu, ko jums nolasīšu. ']"
5, 9.  Sesijas pārtraukšana,"  Priekšsēdētājs.   – Paziņoju, ka Eiropas Parlamenta sesija tiek pārtraukta.(Sēdi slēdza plkst. 09.15) ",Priekšsēdētājs.,2,13,not_available,"['lav', 'lav']","['  Priekšsēdētājs.   – Paziņoju, ka Eiropas Parlamenta sesija tiek pārtraukta.', '(Sēdi slēdza plkst. 09.15) ']"
