,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Otvorenie rokovania,PREDSEDÁ: PÁN VIDAL-QUADRAS podpredseda,PREDSEDÁ: PÁN VIDAL-QUADRAS,1,5,not_available,['slo'],['PREDSEDÁ: PÁN VIDAL-QUADRAS podpredseda']
1, 4. Hlasovanie,  Predsedajúci.   – Teraz pristúpime k hlasovaniu.(Informácie o výsledkoch a ostatných podrobnostiach hlasovania: pozri zápisnicu) ,Predsedajúci.,2,14,not_available,"['slo', 'slo']","['  Predsedajúci.   – Teraz pristúpime k hlasovaniu.', '(Informácie o výsledkoch a ostatných podrobnostiach hlasovania: pozri zápisnicu) ']"
2, 4.1. Menovanie členov výborov: pozri zápisnicu,⁂,unknown,1,0,not_available,['slo'],['⁂']
3, 4.1. Menovanie členov výborov: pozri zápisnicu,"  Rebecca Harms  (Verts/ALE).   – (DE) Vážený pán predsedajúci, včera sme dostali veľmi smutné správy z hlavného mesta Čečenska Groznyj. Novinárka Natalia Estemirovová, ktorú veľmi dobre poznal každý v našej skupine, tam bola zavraždená. Našli ju mŕtvu za hranicami medzi Čečenskom a Ingušskom krátko po tom, ako bola unesená v Groznom. Natalia Estemirovová bola mimoriadne oddaná práci pre organizáciu Memorial v Čečensku. Chceli by sme vás požiadať o súhlas s našou žiadosťou, aby sme si minútou ticha uctili túto zanietenú novinárku a priekopníčku v boji za slobodu a ľudské práva v Čečensku.(potlesk) ",Rebecca Harms  (Verts/ALE).,2,92,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE).   – (DE) Vážený pán predsedajúci, včera sme dostali veľmi smutné správy z hlavného mesta Čečenska Groznyj. Novinárka Natalia Estemirovová, ktorú veľmi dobre poznal každý v našej skupine, tam bola zavraždená. Našli ju mŕtvu za hranicami medzi Čečenskom a Ingušskom krátko po tom, ako bola unesená v Groznom. Natalia Estemirovová bola mimoriadne oddaná práci pre organizáciu Memorial v Čečensku. Chceli by sme vás požiadať o súhlas s našou žiadosťou, aby sme si minútou ticha uctili túto zanietenú novinárku a priekopníčku v boji za slobodu a ľudské práva v Čečensku.', '(potlesk) ']"
4, 5. Oznámenie predsedníctva,"  Predsedajúci.   – (Po vystúpení pani Harmsovej, pozri bod 4.1). Áno, pani Harmsová. Pokiaľ ide o záležitosť, ktorú ste práve spomenuli, musím informovať Parlament o tom, že predseda EP Buzek vydal verejné vyhlásenie, ktoré vám prečítam. ",Predsedajúci.,1,35,not_available,['slo'],"['  Predsedajúci.   – (Po vystúpení pani Harmsovej, pozri bod 4.1). Áno, pani Harmsová. Pokiaľ ide o záležitosť, ktorú ste práve spomenuli, musím informovať Parlament o tom, že predseda EP Buzek vydal verejné vyhlásenie, ktoré vám prečítam. ']"
5, 9. Prerušenie zasadania,  Predsedajúci.   – Vyhlasujem zasadnutie Európskeho parlamentu za prerušené.(Rokovanie sa skončilo o 21.15 hod.) ,Predsedajúci.,2,14,not_available,"['slo', 'slo']","['  Predsedajúci.   – Vyhlasujem zasadnutie Európskeho parlamentu za prerušené.', '(Rokovanie sa skončilo o 21.15 hod.) ']"
