,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Deschiderea şedinţei,PREZIDEAZĂ: DL VIDAL-QUADRAS vicepreşedinte,PREZIDEAZĂ: DL VIDAL-QUADRAS,1,5,not_available,['rum'],['PREZIDEAZĂ: DL VIDAL-QUADRAS vicepreşedinte']
1, 4. Votare,  Preşedintele.   – Vom trece la vot acum.(Pentru rezultate şi alte detalii ale votării: A se vedea procesul-verbal. ,Preşedintele.,2,18,not_available,"['rum', 'rum']","['  Preşedintele.   – Vom trece la vot acum.', '(Pentru rezultate şi alte detalii ale votării: A se vedea procesul-verbal. ']"
2, 4.1. Numiri în funcţii în comisiile parlamentare: consultaţi procesul-verbal,⁂,unknown,1,0,not_available,['rum'],['⁂']
3, 4.1. Numiri în funcţii în comisiile parlamentare: consultaţi procesul-verbal,"  Rebecca Harms  (Verts/ALE).   – (DE) Dle preşedinte, ieri am primit veşti foarte triste din Groznîi, în Cecenia. Jurnalista Natalia Estemirova, pe care o cunoşteam cu toţii în grupul nostru, a fost ucisă acolo. A fost găsită moartă chiar dincolo de graniţa dintre Cecenia şi Inguşeţia, după ce fusese răpită în Groznîi. Natalia Estemirova a fost extrem de dedicată muncii sale pentru Memorial, în Cecenia. Am dori să acceptaţi rugămintea noastră de a ne aminti de această jurnalistă foarte dedicată şi pionier luptător pentru libertate şi drepturile omului în Cecenia, prin păstrarea unui minut de reculegere.(Aplauze) ",Rebecca Harms  (Verts/ALE).,2,96,not_available,"['ger', 'ger']","['  Rebecca Harms  (Verts/ALE).   – (DE) Dle preşedinte, ieri am primit veşti foarte triste din Groznîi, în Cecenia. Jurnalista Natalia Estemirova, pe care o cunoşteam cu toţii în grupul nostru, a fost ucisă acolo. A fost găsită moartă chiar dincolo de graniţa dintre Cecenia şi Inguşeţia, după ce fusese răpită în Groznîi. Natalia Estemirova a fost extrem de dedicată muncii sale pentru Memorial, în Cecenia. Am dori să acceptaţi rugămintea noastră de a ne aminti de această jurnalistă foarte dedicată şi pionier luptător pentru libertate şi drepturile omului în Cecenia, prin păstrarea unui minut de reculegere.', '(Aplauze) ']"
4, 5. Comunicarea Preşedinţiei,"  Preşedintele.   – (După discursul dnei Harms, a se vedea punctul 4.1). Da, dnă Harms. În ceea ce priveşte chestiunea pe care tocmai aţi menţionat-o, trebuie să informez Parlamentul că dl preşedinte Buzek a făcut o declaraţie publică, pe care o să v-o citesc. ",Preşedintele.,1,45,not_available,['rum'],"['  Preşedintele.   – (După discursul dnei Harms, a se vedea punctul 4.1). Da, dnă Harms. În ceea ce priveşte chestiunea pe care tocmai aţi menţionat-o, trebuie să informez Parlamentul că dl preşedinte Buzek a făcut o declaraţie publică, pe care o să v-o citesc. ']"
5, 9. Întreruperea sesiunii,  Preşedintele.   – Declar suspendată această sesiune a Parlamentului European.(Şedinţa s-a încheiat la ora 9:15). ,Preşedintele.,2,16,not_available,"['rum', 'rum']","['  Preşedintele.   – Declar suspendată această sesiune a Parlamentului European.', '(Şedinţa s-a încheiat la ora 9:15). ']"
